label,id,genus,species,species_reference,lifestyle,habitat_reference,terrane,country,province,locality,site,siteN,type_locality,latitude,longitude,elevation,SIA,BDNF,NXC1,CYTB,ND4,tiplabsite
BPBM47733-Choerophryne_darlingtoni_complex_sp.1,BPBM47733,Choerophryne,darlingtoni complex sp.1,Peloso et al. 2016,scansorial,Butler field notes,fold,Papua New Guinea,Central Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.9063379932195,144.274749029428,2423,MZ634562,MZ634798,MZ635033,MZ635270,MZ647718,BPBM47733-Choerophryne_darlingtoni_complex_sp.1-Rondon_Ridge_Lodge-Mt._Hagen
BPBM47780-Cophixalus_cf._cryptotympanum,BPBM47780,Cophixalus,cf. cryptotympanum,Zweifel 1956,scansorial,Butler field notes,fold,Papua New Guinea,Central Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.90291599743068,144.266181970015,2214,MZ634563,MZ634799,MZ635034,MZ635271,MZ647719,BPBM47780-Cophixalus_cf._cryptotympanum-Rondon_Ridge_Lodge-Mt._Hagen
BPBM47792-Hylophorbus_cf._rufescens.14,BPBM47792,Hylophorbus,cf. rufescens.14,,terrestrial,Butler field notes,fold,Papua New Guinea,Central Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.90761,144.27361,2437,MZ634564,MZ634800,MZ635035,MZ635272,MZ647720,BPBM47792-Hylophorbus_cf._rufescens.14-Rondon_Ridge_Lodge-Mt._Hagen
BPBM47804-Cophixalus_darlingtoni,BPBM47804,Cophixalus,darlingtoni,Zweifel 1956,scansorial,Butler field notes,fold,Papua New Guinea,Central Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.90666899457574,144.273386970162,2413,MZ634565,MZ634801,MZ635036,MZ635273,MZ647721,BPBM47804-Cophixalus_darlingtoni-Rondon_Ridge_Lodge-Mt._Hagen
AA24862-Asterophrys_sp.,AA24862,Asterophrys,sp.,,fossorial,"Butler field notes ""Xeno""",fold,Papua New Guinea,Western Highlands Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.90349602513015,144.267169022933,2247,MZ634796,MZ635031,MZ635268,MZ635501,MZ647945,AA24862-Asterophrys_sp.-Rondon_Ridge_Lodge-Mt._Hagen
ABTC116941-Oreophryne_A_graminis,ABTC116941,Oreophryne A,graminis,Gunther & Richards 2012,scansorial,,fold,Papua New Guinea,Western Province,Mueller Range,Apalu Reke,7,,-5.4862,142.3019,NA,MZ634561,MZ634797,MZ635032,MZ635269,MZ647717,ABTC116941-Oreophryne_A_graminis-Apalu_Reke-Mueller_Range
BPBM31882-Paedophryne_swiftorum_complex_sp.1,BPBM31882,Paedophryne,swiftorum complex sp.1,,terrestrial,Butler field notes,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,Cliffside Camp Kamiali,30,,-7.29426,147.09365,515,MZ634566,MZ634802,MZ635037,MZ635274,,BPBM31882-Paedophryne_swiftorum_complex_sp.1-Cliffside_Camp_Kamiali-Bowutu_Mts.
BPBM47713-Paedophryne_amauensis,BPBM47713,Paedophryne,amauensis,Rittmeter et al. 2012,terrestrial,Rittmeter et al. 2012,epct,Papua New Guinea,Central Province,Amau Basin,Amau,44,type locality,-9.9824,148.5785,NA,MZ634567,MZ634803,MZ635038,MZ635275,MZ647722,BPBM47713-Paedophryne_amauensis-Amau-Amau_Basin
BPBM47786-Callulops_sp.2,BPBM47786,Callulops,sp.2,,fossorial,"Butler field notes ""Cal""",fold,Papua New Guinea,Central Province,Mt. Hagen,Rondon Ridge Lodge,20,,-5.90497501194477,144.270364958793,2299,MZ634568,MZ634804,MZ635039,MZ635276,MZ647723,BPBM47786-Callulops_sp.2-Rondon_Ridge_Lodge-Mt._Hagen
BPBM47888-Hylophorbus_cf._rufescens.13,BPBM47888,Hylophorbus,cf. rufescens.13,,terrestrial,"Butler field notes, ""Hylo""",fold,Papua New Guinea,Western Highlands Province,Baiyer River,Baiyer River Sanctuary,19,,-5.50870619,144.1664539,1000,MZ634581,MZ634817,MZ635052,MZ635289,MZ647736,BPBM47888-Hylophorbus_cf._rufescens.13-Baiyer_River_Sanctuary-Baiyer_River
UMMZ242263-Cophixalus_variabilis_complex_sp.1,UMMZ242263,Cophixalus,variabilis complex sp.1,Kraus & Allison 2006,scansorial,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634569,MZ634805,MZ635040,MZ635277,MZ647724,UMMZ242263-Cophixalus_variabilis_complex_sp.1-Mwatebu-Normanby_Island
UMMZ242338-Liophryne_aff._dentata.1,UMMZ242338,Liophryne,aff. dentata.1,Zweifel 2000,terrestrial,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634570,MZ634806,MZ635041,MZ635278,MZ647725,UMMZ242338-Liophryne_aff._dentata.1-Mwatebu-Normanby_Island
UMMZ242317-Hylophorbus_cf._rufescens.1,UMMZ242317,Hylophorbus,cf. rufescens.1,,terrestrial,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634571,MZ634807,MZ635042,MZ635279,MZ647726,UMMZ242317-Hylophorbus_cf._rufescens.1-Mwatebu-Normanby_Island
UMMZ242212-Austrochaperina_C_aff._palmipes.1,UMMZ242212,Austrochaperina C,aff. palmipes.1,Zweifel 1953,semi-aquatic,Zweifel 1953,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.06,151.0752,490,MZ634572,MZ634808,MZ635043,MZ635280,MZ647727,UMMZ242212-Austrochaperina_C_aff._palmipes.1-Mwatebu-Normanby_Island
UMMZ242361-Mantophryne_cf._lateralis.1,UMMZ242361,Mantophryne,cf. lateralis.1,,terrestrial,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.05452,151.07243,520,MZ634573,MZ634809,MZ635044,MZ635281,MZ647728,UMMZ242361-Mantophryne_cf._lateralis.1-Mwatebu-Normanby_Island
UMMZ242309-Genyophryne_aff._thomsoni.1,UMMZ242309,Genyophryne,aff. thomsoni.1,,fossorial,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634574,MZ634810,MZ635045,MZ635282,MZ647729,UMMZ242309-Genyophryne_aff._thomsoni.1-Mwatebu-Normanby_Island
UMMZ242349-Cophixalus_verrucosus_complex_sp.1,UMMZ242349,Cophixalus,verrucosus complex sp.1,Parker 1934,scansorial,MB field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.06,151.0752,490,MZ634575,MZ634811,MZ635046,MZ635283,MZ647730,UMMZ242349-Cophixalus_verrucosus_complex_sp.1-Mwatebu-Normanby_Island
